Posição,Município,UF,Quantidade
769,Fernandópolis,SP,2
770,Ferraz de Vasconcelos,SP,2
771,Floresta Azul,BA,2
772,Florestal,MG,2
773,Floriano,PI,2
774,Formosa do Rio Preto,BA,2
775,Fortaleza de Minas,MG,2
776,Franciscópolis,MG,2
777,Fronteira,MG,2
778,Fátima do Sul,MS,2
779,Gavião Peixoto,SP,2
780,Coronel Barros,RS,2
781,Coroaci,MG,2
782,Conceição do Coité,BA,2
783,Coité do Nóia,AL,2
784,Campo do Tenente,PR,2
785,Campos de Júlio,MT,2
786,Canela,RS,2
787,Cantanhede,MA,2
788,Capela de Santana,RS,2
789,Capistrano,CE,2
790,Carazinho,RS,2
791,Cardoso Moreira,RJ,2
792,Cariri do Tocantins,TO,2
793,Carmo do Cajuru,MG,2
794,Carmo do Rio Claro,MG,2
795,Carrancas,MG,2
796,Carvalhópolis,MG,2
797,Casca,RS,2
798,Casimiro de Abreu,RJ,2
799,Catuji,MG,2
800,Caçu,GO,2
801,Cedral,SP,2
802,Cedro,CE,2
803,Central de Minas,MG,2
804,Cerquilho,SP,2
805,Cerro Largo,RS,2
806,Chorozinho,CE,2
807,Cláudio,MG,2
808,Codajás,AM,2
809,Ipê,RS,2
810,Águas da Prata,SP,2
811,Porteirinha,MG,2
812,Nova Europa,SP,2
813,São José de Piranhas,PB,2
814,São José da Laje,AL,2
815,São José,SC,2
816,São Gonçalo dos Campos,BA,2
817,São Gonçalo do Pará,MG,2
818,São Gabriel,RS,2
819,Muribeca,SE,2
820,Mário Campos,MG,2
821,Nilópolis,RJ,2
822,São Domingos,SC,2
823,Nova Aliança,SP,2
824,São Cristóvão,SE,2
825,São Cristovão do Sul,SC,2
826,Nova Fátima,BA,2
827,Monte Alegre,RN,2
828,São Brás do Suaçuí,MG,2
829,Nova Laranjeiras,PR,2
830,Nova Nazaré,MT,2
831,Nova Odessa,SP,2
832,Nova Palma,RS,2
833,Sousa,PB,2
834,Sombrio,SC,2
835,Soledade de Minas,MG,2
836,Sobradinho,RS,2
837,Silva Jardim,RJ,2
838,Ocauçu,SP,2
839,Sidrolândia,MS,2
840,Sertânia,PE,2
841,Monções,SP,2
842,São João da Boa Vista,SP,2
843,Padre Bernardo,GO,2
844,Medianeira,PR,2
845,Tatuí,SP,2
846,Tarauacá,AC,2
847,Marapanim,PA,2
848,Taquaritinga,SP,2
849,Marechal Cândido Rondon,PR,2
850,Taquari,RS,2
851,Marques de Souza,RS,2
852,Tapejara,RS,2
853,Tanabi,SP,2
854,Martinópolis,SP,2
855,Mata de São João,BA,2
856,Matozinhos,MG,2
857,Tabapuã,SP,2
858,Meleiro,SC,2
859,Mogi Guaçu,SP,2
860,Meridiano,SP,2
861,Milagres,BA,2
862,Mimoso do Sul,ES,2
863,Minas Novas,MG,2
864,São Sebastião da Boa Vista,PA,2
865,Mineiros,GO,2
866,Miradouro,MG,2
867,São Pedro do Sul,RS,2
868,São Pedro do Butiá,RS,2
869,Mirassolândia,SP,2
870,São João do Polêsine,RS,2
871,Moeda,MG,2
872,Moema,MG,2
873,Orizânia,MG,2
874,Satuba,AL,2
875,Manacapuru,AM,2
876,Quixadá,CE,2
877,Porto Feliz,SP,2
878,Porto Franco,MA,2
879,Porto Grande,AP,2
880,Portão,RS,2
881,Potim,SP,2
